Tren,Hora,LTQV,PUIG,UALP,LMOL,TOSE,PLAN,RIFE,CAMP,RIPO,LFBE,SQBE,BORG,TORE,MANL,VICC,BTSV,BEHO,CENL,SMCE,FIGA,LGAR,LFVA,GRCA,PDVA,MSRS,SPMF,MCRI,MBCF,BTBV,BFAB,BLSG,BATR,BPCN,BSAN
78352,05:44,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0
78306,05:59,,,,,,,,,,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0
78308,06:59,,,,,,,,,,,,,,,0.0,8.0,8.0,8.0,8.0,8.0,14.0,14.0,14.0,14.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0
78358,07:08,,0.0,1.0,1.0,1.0,3.0,3.0,6.0,,,,,7.0,7.0,,,,,,,,,14.0,14.0,,,,,11.0,11.0,11.0,11.0,11.0,16.0
78356,07:15,,,,,,,,,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,6.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
78310,07:29,,,,,,,,,,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
78312,08:29,,,,,,,,,,,,,,,0.0,0.0,10.0,10.0,10.0,10.0,10.0,13.0,13.0,13.0,13.0,13.0,17.0,13.0,17.0,17.0,17.0,17.0,17.0,20.0
78350,08:30,0.0,0.0,-6.0,-6.0,13.0,13.0,13.0,17.0,,,,,9.0,9.0,,,,,,,,,13.0,16.0,,,,,12.0,13.0,13.0,13.0,15.0,15.0
78316,09:59,,,,,,,,,,,,,,,0.0,0.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,8.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0
78360,10:26,,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,5.0,-1.0,-1.0,-1.0,5.0,5.0,5.0,5.0,5.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0,13.0,14.0
