Estación,Acrónimo
L'Hospitalet de Llobregat,LHOS
Barcelona-Sants,BSAN
Barcelona-Plaça de Catalunya,BPCN
Barcelona-Arc de Triomf,BATR
Barcelona-La Sagrera-Meridiana,BLSG
Barcelona-Fabra i Puig,BFAB
Barcelona-Torre Baró | Vallbona,BTBV
Montcada Bifurcació,MBCF
Montcada Ripollet,MCRI
Santa Perpètua de Mogoda La Florida,SPMF
Mollet-Santa Rosa,MSRS
Parets del Vallès,PDVA
Granollers-Canovelles,GRCA
Les Franqueses del Vallès,LFVA
La Garriga,LGAR
Figaró,FIGA
Sant Martí de Centelles,SMCE
Centelles,CENL
Balenyà-Els Hostalets,BEHO
Balenyà-Tona-Seva,BTSV
Vic,VICC
Manlleu,MANL
Torelló,TORE
Borgonyà,BORG
Sant Quirze de Besora,SQBE
La Farga de Bebié,LFBE
Ripoll,RIPO
Campdevànol,CAMP
Ribes de Freser,RIFE
Planoles,PLAN
Toses,TOSE
La Molina,LMOL
Urtx-Alp,UALP
Puigcerdà,PUIG
La Tor de Querol-Enveig,LTQV
